Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51
 1,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,4,3.3,0.154097889451922,0.154098,16.42041,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,4
 2,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,4,3.7,0.139934415399342,0.139934,14.97463,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,1
 3,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,4,4.0,0.159692671512231,0.159693,21.6619,0.01,0,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,4,4,4,4,1,3,1,1,1,3,2,3,3,3,1,1,1,3,1,3,1,1,1,1,1,4,4,4,4,1,1,1,1
 4,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,4,1.8,0.188492591331814,0.188493,10.911529,0.01,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3
 5,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,4,2.0,0.218510504690858,0.218511,22.487765,0.01,0,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,4,4,4,4,4,3,1,1,1,3,2,3,3,3,1,1,1,3,1,3,1,1,1,1,1,4,4,4,4,1,1,1,1
 6,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,4,2.3,0.195052972793665,0.195053,17.854732,0.01,0,3,3,3,3,3,3,1,1,1,1,1,3,1,1,1,1,1,1,4,4,4,4,4,3,3,3,3,3,2,3,3,3,1,1,1,3,1,3,1,1,1,1,1,4,4,4,4,1,1,1,1
 7,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,4,1.2,0.150140770348277,0.150141,16.428148,0.01,0,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,4,1,1,1,1,1,3,1,3,1,1,3,1,1,1,2,2,2,2,1,1,1,3
 8,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,4,1.4,0.181890997380975,0.181891,19.436137,0.01,0,2,2,2,2,2,4,4,4,4,2,4,4,2,2,2,2,2,2,1,1,1,1,1,4,2,2,2,4,3,4,4,4,4,4,2,4,2,4,2,2,2,2,2,1,1,1,1,2,2,2,2
 9,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,4,1.6,0.143004208769056,0.143004,17.646696,0.01,0,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,1,1,2,1,1,1,4,4,4,4,2,1,2,2
10,hford,30,hexagonal,6, 5,L2norm,noPCA,1000,0.05,0.01,4,0.8,0.197014181643949,0.197014,10.509892,0.01,0,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,4,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3
11,hford,36,hexagonal,6, 6,L2norm,noPCA,1000,0.05,0.01,4,1.0,0.140252418514776,0.140252,22.379995,0.01,0,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,2,2,2,2,2,2,2,2,1,3,3,3,1,4,1,1,1,3,3,3,1,3,1,3,3,3,3,3,2,2,2,2,3,3,3,3
12,hford,42,hexagonal,6, 7,L2norm,noPCA,1000,0.05,0.01,4,1.2,0.0943154472130878,0.094315,14.97463,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3
