Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51
 1,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,4,3.3,0.169500495203304,0.1695,27.941324,0.01,0,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,3,2,2,2,3,4,3,3,3,2,2,2,3,2,3,2,2,2,2,2,1,1,1,1,2,2,2,2
 2,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,4,3.7,0.106811395727834,0.106811,25.305463,0.01,0,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3,4,3,3,3,3,3,2,3,2,3,3,2,3,3,2,1,1,1,1,2,3,2,2
 3,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,4,4.0,0.106668142668623,0.106668,25.305463,0.01,0,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,4,2,2,2,2,2,3,2,3,2,2,3,2,2,3,1,1,1,1,3,2,3,3
 4,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,4,1.8,0.174737734279627,0.174738,29.534435,0.01,0,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3,3,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,3,3,3,3,2,2,2,4
 5,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,4,2.0,0.144109982518875,0.14411,24.613179,0.01,0,2,2,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,4,4,4,4,4,3,3,3,3,3,1,3,3,3,3,3,2,3,2,3,3,2,2,3,2,4,4,4,4,2,3,2,2
 6,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,4,2.3,0.116705857357615,0.116706,23.836149,0.01,0,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,3,1,4,4,4,4,1,3,1,1
 7,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,4,1.2,0.165691195974458,0.165691,22.620413,0.01,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,4,2,2,2,1,1,1,2,1,2,1,1,1,1,1,3,3,3,3,1,1,1,1
 8,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,4,1.4,0.11887156975045,0.118872,20.119183,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,2,2,1
 9,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,4,1.6,0.098236191931261,0.098236,25.305463,0.01,0,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,4,2,2,2,2,2,3,2,3,2,2,3,2,2,3,1,1,1,1,3,2,3,3
10,hford,45,hexagonal,5, 9,L2norm,noPCA,1000,0.05,0.01,4,1.8,0.0874609376797927,0.087461,20.119183,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,3
11,hford,30,hexagonal,6, 5,L2norm,noPCA,1000,0.05,0.01,4,0.8,0.107758195425938,0.107758,20.119183,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,3
12,hford,36,hexagonal,6, 6,L2norm,noPCA,1000,0.05,0.01,4,1.0,0.120218342187675,0.120218,20.119183,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,4
13,hford,42,hexagonal,6, 7,L2norm,noPCA,1000,0.05,0.01,4,1.2,0.0824497985574608,0.08245,20.119183,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,2
